,NCustomers
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,3
59,3
60,3
61,3
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,6
103,6
104,7
105,7
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,7
114,7
115,7
116,7
117,7
118,7
119,7
120,7
121,7
122,7
123,7
124,7
125,7
126,7
127,7
128,8
129,8
130,8
131,8
132,8
133,8
134,8
135,8
136,8
137,8
138,8
139,8
140,8
141,8
142,8
143,8
144,8
145,8
146,8
147,8
148,8
149,8
150,8
151,8
152,8
153,8
154,8
155,9
156,9
157,9
158,9
159,9
160,9
161,9
162,9
163,9
164,9
165,9
166,9
167,8
168,8
169,8
170,8
171,9
172,10
173,10
174,10
175,10
176,10
177,11
178,11
179,11
180,11
181,11
182,11
183,11
184,11
185,11
186,11
187,11
188,11
189,11
190,11
191,11
192,11
193,11
194,11
195,11
196,11
197,11
198,12
199,12
200,11
201,11
202,11
203,11
204,11
205,11
206,11
207,11
208,11
209,11
210,11
211,11
212,11
213,11
214,11
215,11
216,11
217,11
218,11
219,11
220,11
221,11
222,11
223,11
224,11
225,10
226,10
227,10
228,10
229,10
230,10
231,10
232,11
233,12
234,12
235,12
236,12
237,12
238,12
239,14
240,14
241,14
242,14
243,14
244,15
245,15
246,15
247,15
248,15
249,15
250,15
251,15
252,15
253,15
254,15
255,15
256,15
257,15
258,15
259,15
260,15
261,15
262,15
263,15
264,15
265,15
266,16
267,15
268,15
269,15
270,15
271,15
272,15
273,15
274,15
275,15
276,15
277,15
278,15
279,15
280,15
281,15
282,15
283,15
284,14
285,14
286,15
287,15
288,15
289,16
290,17
291,17
292,16
293,16
294,17
295,17
296,17
297,17
298,17
299,17
300,18
301,18
302,17
303,17
304,18
305,18
306,18
307,18
308,18
309,18
310,17
311,17
312,16
313,16
314,15
315,15
316,15
317,15
318,15
319,15
320,15
321,15
322,15
323,15
324,15
325,15
326,15
327,16
328,16
329,16
330,16
331,16
332,15
333,15
334,15
335,15
336,14
337,14
338,14
339,13
340,13
341,13
342,13
343,13
344,13
345,13
346,13
347,13
348,12
349,12
350,12
351,12
352,12
353,12
354,12
355,11
356,11
357,11
358,11
359,11
360,11
361,10
362,10
363,10
364,10
365,10
366,10
367,10
368,10
369,9
370,9
371,9
372,9
373,10
374,11
375,11
376,11
377,11
378,11
379,11
380,11
381,11
382,11
383,11
384,12
385,11
386,11
387,11
388,11
389,11
390,11
391,11
392,11
393,12
394,12
395,12
396,12
397,12
398,12
399,12
400,13
401,12
402,12
403,12
404,13
405,13
406,13
407,13
408,13
409,13
410,13
411,14
412,14
413,16
414,16
415,16
416,16
417,16
418,16
419,17
420,17
421,17
422,17
423,17
424,17
425,16
426,16
427,16
428,17
429,17
430,17
431,17
432,17
433,17
434,17
435,17
436,18
437,18
438,18
439,18
440,18
441,17
442,18
443,17
444,17
445,17
446,17
447,17
448,17
449,17
450,17
451,17
452,17
453,17
454,17
455,17
456,18
457,18
458,18
459,18
460,19
461,19
462,20
463,21
464,21
465,21
466,21
467,21
468,21
469,21
470,20
471,20
472,20
473,21
474,21
475,21
476,21
477,21
478,21
479,21
480,21
481,21
482,20
483,19
484,20
485,20
486,20
487,20
488,19
489,20
490,20
491,20
492,20
493,19
494,19
495,19
496,19
497,19
498,19
499,20
500,20
501,20
502,20
503,19
504,19
505,19
506,19
507,19
508,19
509,19
510,19
511,19
512,19
513,19
514,19
515,19
516,19
517,19
518,19
519,19
520,20
521,20
522,20
523,21
524,22
525,22
526,22
527,22
528,21
529,21
530,22
531,22
