,NCustomers
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,3
129,3
130,3
131,3
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,4
169,4
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,6
178,6
179,7
180,7
181,7
182,7
183,7
184,7
185,7
186,7
187,7
188,7
189,7
190,7
191,7
192,7
193,7
194,8
195,8
196,8
197,8
198,8
199,8
200,8
201,8
202,8
203,8
204,9
205,9
206,9
207,9
208,10
209,10
210,10
211,10
212,10
213,10
214,10
215,10
216,10
217,10
218,11
219,11
220,11
221,11
222,11
223,11
224,11
225,11
226,11
227,11
228,11
229,11
230,11
231,11
232,11
233,11
234,11
235,11
236,11
237,11
238,11
239,11
240,11
241,11
242,11
243,11
244,11
245,11
246,11
247,11
248,12
249,13
250,13
251,13
252,13
253,13
254,13
255,13
256,13
257,14
258,14
259,14
260,14
261,14
262,14
263,14
264,15
265,15
266,16
267,16
268,16
269,16
270,16
271,16
272,16
273,16
274,16
275,16
276,15
277,15
278,15
279,15
280,15
281,15
282,15
283,15
284,15
285,15
286,15
287,15
288,15
289,15
290,15
291,15
292,15
293,15
294,15
295,15
296,15
297,16
298,15
299,15
300,15
301,15
302,15
303,15
304,15
305,15
306,15
307,15
308,15
309,15
310,15
311,15
312,15
313,15
314,15
315,15
316,16
317,16
318,16
319,17
320,17
321,17
322,17
323,17
324,17
325,17
326,15
327,15
328,15
329,15
330,15
331,15
332,15
333,15
334,15
335,15
336,15
337,15
338,15
339,15
340,16
341,16
342,16
343,16
344,16
345,16
346,16
347,15
348,15
349,16
350,15
351,16
352,16
353,16
354,16
355,16
356,17
357,17
358,17
359,17
360,17
361,17
362,17
363,17
364,17
365,17
366,18
367,19
368,19
369,19
370,19
371,19
372,19
373,19
374,19
375,19
376,19
377,19
378,19
379,19
380,19
381,20
382,20
383,18
384,18
385,18
386,18
387,18
388,20
389,20
390,20
391,20
392,20
393,20
394,20
395,20
396,20
397,19
398,19
399,19
400,19
401,19
402,19
403,18
404,18
405,18
406,18
407,18
408,18
409,18
410,18
411,18
412,18
413,18
414,18
415,19
416,19
417,19
418,19
419,19
420,19
421,19
422,19
423,19
424,19
425,20
426,20
427,20
428,20
429,20
430,21
431,21
432,21
433,21
434,21
435,20
436,20
437,20
438,20
439,21
440,21
441,21
442,21
443,21
444,21
445,21
446,20
447,20
448,20
449,20
450,21
451,22
452,23
453,23
454,23
455,23
456,23
457,23
458,22
459,22
460,22
461,22
462,21
463,21
464,21
465,21
466,21
467,20
468,20
469,20
470,20
471,20
472,19
473,19
474,19
475,20
476,21
477,21
478,21
479,21
480,21
481,22
482,21
483,20
484,20
485,19
486,19
487,19
488,19
489,18
490,18
491,18
492,18
493,18
494,18
495,18
496,18
497,18
498,18
499,17
500,17
501,17
502,17
503,17
504,17
505,17
506,17
507,17
508,17
509,18
510,18
511,18
512,18
513,18
514,18
515,18
516,18
517,19
518,19
519,18
520,18
521,18
522,18
523,18
524,19
525,19
526,19
527,19
528,19
529,19
530,19
531,20
