,NCustomers
532,22
533,22
534,22
535,22
536,22
537,23
538,23
539,23
540,23
541,23
542,23
543,22
544,21
545,21
546,21
547,21
548,20
549,21
550,21
551,21
552,21
553,22
554,22
555,22
556,22
557,22
558,22
559,22
560,22
561,22
562,22
563,22
564,22
565,22
566,21
567,21
568,20
569,20
570,20
571,20
572,20
573,20
574,19
575,19
576,20
577,20
578,20
579,20
580,20
581,20
582,19
583,19
584,19
585,20
586,20
587,20
588,20
589,20
590,19
591,19
592,19
593,19
594,19
595,19
596,20
597,20
598,20
599,20
600,19
601,19
602,18
603,18
604,18
605,17
606,17
607,16
608,16
609,17
610,17
611,17
612,17
613,17
614,17
615,16
616,16
617,16
618,16
619,16
620,16
621,17
622,17
623,17
624,17
625,17
626,17
627,18
628,18
629,20
630,20
631,20
632,20
633,20
634,21
635,21
636,21
637,22
638,22
639,22
640,22
641,22
642,21
643,21
644,20
645,19
646,19
647,19
648,19
649,19
650,20
651,20
652,21
653,21
654,21
655,21
656,21
657,21
658,21
659,21
660,22
661,22
662,22
663,22
664,22
665,22
666,22
667,22
668,22
669,22
670,22
671,23
672,22
673,22
674,22
675,23
676,23
677,23
678,23
679,23
680,23
681,23
682,23
683,23
684,23
685,23
686,22
687,22
688,21
689,21
690,21
691,21
692,21
693,21
694,22
695,22
696,22
697,22
698,23
699,23
700,23
701,23
702,23
703,23
704,24
705,24
706,24
707,24
708,24
709,24
710,23
711,23
712,23
713,23
714,23
715,23
716,23
717,23
718,23
719,23
720,23
721,23
722,23
723,22
724,22
725,22
726,22
727,23
728,23
729,23
730,23
731,23
732,22
733,22
734,23
735,23
736,23
737,23
738,22
739,22
740,22
741,22
742,22
743,23
744,24
745,24
746,23
747,23
748,23
749,23
750,23
751,23
752,23
753,23
754,23
755,23
756,23
757,23
758,22
759,22
760,22
761,22
762,22
763,22
764,22
765,21
766,21
767,21
768,21
769,22
770,22
771,22
772,22
773,22
774,23
775,23
776,23
777,23
778,23
779,22
780,22
781,22
782,22
783,22
784,22
785,21
786,21
787,21
788,21
789,21
790,21
791,21
792,21
793,21
794,22
795,22
796,22
797,23
798,22
799,22
800,21
801,21
802,21
803,20
804,20
805,21
806,22
807,22
808,22
809,22
810,22
811,22
812,22
813,22
814,22
815,21
816,20
817,20
818,19
819,19
820,19
821,20
822,20
823,20
824,21
825,21
826,20
827,20
828,21
829,21
830,20
831,20
832,20
833,19
834,20
835,20
836,20
837,20
838,20
839,20
840,20
841,20
842,20
843,20
844,20
845,20
846,19
847,19
848,19
849,18
850,18
851,18
852,18
853,18
854,18
855,18
856,18
857,18
858,19
859,19
860,18
861,17
862,17
863,17
864,17
865,17
866,17
867,17
868,17
869,17
870,17
871,17
872,17
873,17
874,17
875,18
876,17
877,17
878,17
879,17
880,17
881,16
882,16
883,16
884,16
885,16
886,16
887,16
888,16
889,16
890,16
891,16
892,16
893,16
894,16
895,16
896,16
897,16
898,16
899,16
900,16
901,16
902,16
903,16
904,17
905,17
906,18
907,18
908,18
909,18
910,19
911,19
912,19
913,18
914,17
915,17
916,17
917,17
918,17
919,17
920,17
921,17
922,17
923,17
924,17
925,17
926,18
927,18
928,18
929,18
930,18
931,18
932,18
933,18
934,18
935,18
936,18
937,18
938,18
939,18
940,18
941,18
942,18
943,17
944,17
945,17
946,17
947,17
948,17
949,17
950,17
951,18
952,17
953,17
954,18
955,18
956,19
957,19
958,19
959,19
960,19
961,19
962,18
963,18
964,18
965,18
966,18
967,18
968,18
969,18
970,18
971,18
972,18
973,18
974,18
975,18
976,18
977,18
978,18
979,18
980,18
981,18
982,18
983,18
984,18
985,18
986,18
987,18
988,18
989,18
990,18
991,18
992,19
993,19
994,19
995,18
996,18
997,17
998,17
999,16
1000,17
1001,17
1002,17
1003,16
1004,16
1005,16
1006,16
1007,16
1008,16
1009,16
1010,16
1011,16
1012,16
1013,16
1014,16
1015,16
1016,16
1017,16
1018,16
1019,17
1020,17
1021,18
1022,16
1023,16
1024,16
1025,16
1026,16
1027,17
1028,17
1029,16
1030,16
1031,16
1032,16
1033,16
1034,16
1035,16
1036,16
1037,16
1038,16
1039,16
1040,16
1041,16
1042,16
1043,16
1044,15
1045,15
1046,15
1047,15
1048,14
1049,14
1050,14
1051,14
1052,14
1053,14
1054,14
1055,14
1056,14
1057,14
1058,14
1059,14
1060,14
1061,14
1062,13
1063,13
1064,13
1065,13
1066,13
1067,13
1068,13
1069,13
1070,13
1071,13
1072,13
1073,13
1074,13
1075,13
1076,13
1077,13
1078,13
1079,13
