,NCustomers
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,3
95,3
96,3
97,3
98,3
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,5
120,5
121,5
122,5
123,5
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,7
132,7
133,7
134,7
135,7
136,7
137,7
138,7
139,7
140,7
141,7
142,7
143,7
144,9
145,9
146,9
147,9
148,9
149,9
150,9
151,9
152,9
153,9
154,8
155,8
156,8
157,8
158,8
159,9
160,9
161,9
162,9
163,9
164,9
165,9
166,9
167,9
168,9
169,9
170,9
171,9
172,9
173,9
174,9
175,9
176,9
177,9
178,9
179,9
180,9
181,10
182,10
183,10
184,10
185,10
186,10
187,10
188,10
189,10
190,10
191,10
192,10
193,10
194,10
195,10
196,10
197,10
198,10
199,10
200,10
201,9
202,9
203,9
204,9
205,9
206,9
207,9
208,9
209,9
210,9
211,9
212,9
213,9
214,9
215,10
216,10
217,10
218,10
219,10
220,10
221,10
222,10
223,11
224,11
225,11
226,11
227,11
228,11
229,11
230,11
231,11
232,11
233,12
234,12
235,13
236,13
237,13
238,13
239,13
240,13
241,13
242,13
243,13
244,13
245,13
246,13
247,14
248,14
249,14
250,15
251,15
252,15
253,16
254,16
255,16
256,16
257,16
258,16
259,15
260,15
261,15
262,15
263,15
264,15
265,15
266,15
267,15
268,15
269,15
270,14
271,14
272,14
273,14
274,14
275,14
276,14
277,14
278,14
279,14
280,15
281,14
282,14
283,14
284,14
285,14
286,14
287,14
288,14
289,14
290,14
291,13
292,13
293,13
294,13
295,13
296,13
297,13
298,13
299,13
300,13
301,13
302,13
303,13
304,13
305,13
306,13
307,13
308,12
309,12
310,12
311,12
312,12
313,12
314,12
315,12
316,12
317,12
318,12
319,12
320,12
321,13
322,13
323,13
324,13
325,13
326,14
327,15
328,15
329,15
330,15
331,15
332,15
333,15
334,15
335,14
336,14
337,14
338,15
339,15
340,15
341,15
342,15
343,15
344,15
345,15
346,14
347,15
348,15
349,14
350,14
351,14
352,14
353,14
354,14
355,14
356,14
357,14
358,14
359,14
360,14
361,14
362,14
363,14
364,14
365,14
366,14
367,14
368,14
369,14
370,14
371,14
372,15
373,15
374,16
375,17
376,17
377,19
378,20
379,20
380,20
381,20
382,20
383,19
384,20
385,20
386,20
387,20
388,20
389,20
390,20
391,21
392,21
393,21
394,21
395,21
396,21
397,21
398,20
399,20
400,20
401,20
402,20
403,21
404,21
405,21
406,22
407,22
408,22
409,22
410,22
411,22
412,22
413,22
414,22
415,22
416,22
417,22
418,22
419,22
420,22
421,22
422,22
423,22
424,22
425,22
426,22
427,22
428,22
429,22
430,22
431,23
432,23
433,23
434,23
435,23
436,24
437,24
438,24
439,24
440,24
441,24
442,23
443,23
444,23
445,24
446,24
447,24
448,24
449,24
450,24
451,24
452,24
453,24
454,24
455,24
456,25
457,23
458,23
459,23
460,22
461,22
462,21
463,21
464,21
465,21
466,22
467,22
468,21
469,21
470,21
471,21
472,21
473,21
474,21
475,21
476,21
477,22
478,22
479,22
480,22
481,22
482,22
483,23
484,24
485,24
486,24
487,24
488,24
489,24
490,24
491,24
492,24
493,25
494,24
495,24
496,24
497,24
498,24
499,24
500,24
501,24
502,24
503,24
504,23
505,23
506,23
507,22
508,22
509,23
510,23
511,23
512,24
513,24
514,24
515,24
516,24
517,24
518,24
519,23
520,23
521,23
522,23
523,23
524,23
525,23
526,23
527,23
528,22
529,22
530,22
531,22
